Designator,Mid X,Mid Y,Rotation,Layer
R99,-48.885,11.42,180.0,bottom
REF1,-51.0,14.25,0.0,top
REF10,-33.4,-55.7,90.0,top
REF11,-17.0,-48.6,0.0,top
REF12,-44.78,-62.31,0.0,top
REF13,-33.4,-73.7,90.0,top
REF14,-17.0,-66.6,0.0,top
REF15,-44.78,-80.81,0.0,top
REF16,-33.4,-91.7,90.0,top
REF17,-17.0,-84.6,0.0,top
REF2,-44.77,-1.49,0.0,top
REF3,-17.0,-12.6,0.0,top
REF4,-33.4,-19.7,90.0,top
REF5,-44.78,-16.91,0.0,top
REF6,-33.4,-37.7,90.0,top
REF7,-17.0,-30.6,0.0,top
REF8,-44.12,-37.02,0.0,top
REF9,-44.09,-50.51,0.0,top
