Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3",Capacitor_Radial_D5.0mm_P2.5mm,2,10u,
C2,Capacitor_Disc_D3.8mm_W2.6mm_P2.50mm,1,1nF,
"C4, C5, C7",Capacitor_Disc_D3.8mm_W2.6mm_P2.50mm,3,0.1u,
"D10, D11, D12, D13, D14, D15, D16, D17, D20, D21, D22, D6, D7, D8, D9",D_DO-35_SOD27_P7.62mm_Horizontal,15,1n4148,
"D18, D19",D_DO-41_SOD81_P10.16mm_Horizontal,2,1N5819,
J11,PinHeader_1x10_P2.54mm_Vertical,1,Con2_Bottom,
J12,PinHeader_1x10_P2.54mm_Vertical,1,Con3_Bottom,
J13,PinHeader_1x14_P2.54mm_Vertical,1,Con4_Bottom,
J5,10BoxHeaderConnector,1,~,
J7,PinHeader_1x10_P2.54mm_Vertical,1,Con1_Bottom,
"Q1, Q2, Q3, Q4, Q5",TO-92_Wide,5,2N3904,
Q6,TO-92_Wide,1,BC548,
"R1, R2, R4",Resistor_L6.3mm_D2.5mm_P7.62mm_Horizontal,3,10k,
"R10, R14, R15, R18, R19, R20, R21, R23, R24, R25, R26, R27",Resistor_L6.3mm_D2.5mm_P7.62mm_Horizontal,12,100k,
"R11, R12, R38, R6, R7, R8, R9",Resistor_L6.3mm_D2.5mm_P7.62mm_Horizontal,7,1k,
R17,Resistor_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,47k,
R3,Resistor_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,3.3k,
R33,Resistor_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,68k,
R39,Resistor_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,4.7k,
R5,Resistor_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,51k,
"RV1, RV8",MultiturnTrimmer,2,Trim_5k,
RV7,MultiturnTrimmer,1,Trim_10k,
U1,DIP-16_W7.62mm_Socket_LongPads,1,4017,
U2,DIP-14_W7.62mm_Socket_LongPads,1,TL074,
